rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
CNRU;iЦиан;"МКПАО ""Циан""";Акции обыкновенные;RU000A10ANA1;1-01-16918-A;;1;0,0337;RUB;77670490;1;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;07.02.2025;2026-06-22;;;закрытие реестра (рекомендуемая);50159602442.0;50159602442.0;"Международная компания публичное акционерное общество ""Циан""";3900031141;1;637,32;637,32;427,0;847,64;318,66;955,98;63,73;1210,91;33,0;54488;50,0;272440;90,0;8,75000;7,37000;0;0
CNTL;Телеграф;"""Центральный Телеграф"" ПАО ао";Акции обыкновенные;RU0007665147;1-03-00327-A;;3;1,0;RUB;166167000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.12.2008;2025-07-11;;;закрытие реестра;1505473020.0;1809004740.0;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100;9,0931;9,0931;0,0;18,1862;0,0;18,1862;0,0;18,1862;100,0;;;;;7,39000;13,91000;1;0
CNTLP;Телеграф-п;"""Центральный Телеграф"" ПАО ап";Акции привилегированные;RU0007665139;2-03-00327-A;;3;1,0;RUB;55389000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;25.10.2011;2025-07-11;0.224;0.0336;закрытие реестра;303531720.0;1809004740.0;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100;5,4758;5,4758;0,0;10,9516;0,0;10,9516;0,0;10,9516;100,0;;;;;7,95000;10,69000;1;0
DATA;iАренадата;Группа Аренадата;Акции обыкновенные;RU000A108ZR8;1-01-87685-H;;2;0,05;RUB;218021202;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;01.10.2024;2026-06-10;;;закрытие реестра (рекомендуемая);21213462954.6;21213462954.6;"Публичное акционерное общество ""Группа Аренадата""";9717163245;1;97,95;97,95;65,63;130,27;48,98;146,93;24,49;171,41;33,0;111982;50,0;559910;75,0;7,71000;10,49000;0;0
DELI;iКаршеринг;Каршеринг Руссия ао;Акции обыкновенные;RU000A107J11;1-01-16750-A;;2;0,00063;RUB;175849057;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;06.02.2024;2024-10-07;1.0;0.0048;закрытие реестра;13698641540.3;13698641540.3;"Публичное акционерное общество ""Каршеринг Руссия""";9718236471;1;77,54;77,54;23,26;131,82;15,51;139,57;3,88;151,2;70,0;137001;80,0;685005;95,0;7,66000;6,48000;0;0
DIAS;iДиасофт;Диасофт ао;Акции обыкновенные;RU000A107ER5;1-01-84777-H;;2;0,01;RUB;10500000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;13.02.2024;2026-03-23;;;закрытие реестра;14836500000.0;14836500000.0;"Публичное акционерное общество ""Диасофт""";9715302870;1;1413,61;1413,61;1060,21;1767,01;918,85;1908,37;706,81;2120,42;25,0;6217;35,0;31085;50,0;8,15000;6,53000;0;0
DIOD;ЗаводДИОД;Завод ДИОД ПАО ао;Акции обыкновенные;RU000A0JQWC1;1-03-06923-A;;3;0,01;RUB;91500000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.06.2010;2026-07-06;;;закрытие реестра (рекомендуемая);858270000.0;858270000.0;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";7725024805;100;9,4029;9,4029;0,0;18,8058;0,0;18,8058;0,0;18,8058;100,0;;;;;9,65000;17,38000;1;0
DOMRF;ДОМ.РФ;ПАО ДОМ.РФ;Акции обыкновенные;RU000A0ZZFU5;1-02-00739-A;;1;1400,0;RUB;179888718;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;20.11.2025;;;;;413024496528.0;413024496528.0;"Публичное акционерное общество ""ДОМ.РФ""";7729355614;1;2290,66;2290,66;1718,0;2863,33;1580,56;3000,76;1420,21;3161,11;25,0;43840;31,0;219200;38,0;5,09000;5,85000;0;0
DVEC;ДЭК ао;"""ДЭК"" ПАО ао";Акции обыкновенные;RU000A0JP2W1;1-01-55275-E;;3;1,0;RUB;17223107804;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;13.12.2007;2026-06-25;;;закрытие реестра (рекомендуемая);30174884872.61;30174884872.61;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";2723088770;1000;1,75767;1,75767;0,0;3,51534;0,0;3,51534;0,0;3,51534;100,0;;;;;9,63000;19,95000;1;0
DZRD;ДонскЗР;Донской завод радиодеталей ао;Акции обыкновенные;RU000A0JQW11;1-01-02677-A;;3;1,0;RUB;343407;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;30.12.2010;2024-01-15;110.36;0.0193;закрытие реестра;746910225.0;985005745.0;"Публичное акционерное общество ""Донской завод радиодеталей""";7114001610;1;2088,41;2088,41;0,0;4176,82;0,0;4176,82;0,0;4176,82;100,0;;;;;12,51000;19,74000;1;0
DZRDP;ДонскЗР п;Донской завод радиодеталей ап;Акции привилегированные;RU000A0JQW29;2-01-02677-A;;3;1,0;RUB;114469;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;30.12.2010;2024-01-15;110.36;0.0254;закрытие реестра;238095520.0;985005745.0;"Публичное акционерное общество ""Донской завод радиодеталей""";7114001610;1;2098,41;2098,41;0,0;4196,82;0,0;4196,82;0,0;4196,82;100,0;;;;;9,81000;17,35000;1;0
EELT;ЕвроЭлтех;"""ЕвропЭлектротехника"" ПАО ао";Акции обыкновенные;RU000A0JWW54;1-01-83993-H;;3;1,0;RUB;551813000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;07.09.2017;2026-01-15;;;закрытие реестра;4657301720.0;4657301720.0;"Публичное акционерное общество ""Европейская Электротехника""";7716814300;10;8,434;8,434;0,0;16,868;0,0;16,868;0,0;16,868;100,0;;;;;6,85000;7,33000;1;-34604
ELFV;ЭЛ5Энер ао;"""ЭЛ5-Энерго"" ПАО";Акции обыкновенные;RU000A0F5UN3;1-01-50077-A;;1;1,0;RUB;35371898370;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;01.12.2014;2020-07-09;0.085;;закрытие реестра;16978511217.6;16978511217.6;"Публичное акционерное общество ""ЭЛ5-Энерго""";6671156423;1000;0,48083;0,48083;0,32216;0,6395;0,24042;0,72125;0,12021;0,84145;33,0;38492187;50,0;192460935;75,0;6,58000;7,63000;0;0
ELMT;iЭлемент;Элемент;Акции обыкновенные;RU000A102093;1-01-16673-A;;3;0,05;RUB;469725539040;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;06.06.2024;2025-07-14;0.003535043045335881;0.0273;закрытие реестра;65573685249.98;65573685249.98;"Публичное акционерное общество ""Элемент""";9703014282;1000;0,14262;0,14262;0,09556;0,18968;0,07131;0,21393;0,03566;0,24959;33,0;78363765;50,0;391818823;75,0;5,80000;7,23000;0;0
ENPG;ЭН+ГРУП ао;МКПАО ЭН+ ГРУП ао;Акции обыкновенные;RU000A100K72;1-01-16625-A;;1;7e-05;USD;638848896;1;1;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;18.02.2020;2018-03-21;;;закрытие реестра;258382435987.2;258382435987.2;"Международная компания публичное акционерное общество ""ЭН+ ГРУП""";3906382033;1;404,52;404,52;303,39;505,65;279,12;529,92;250,8;558,24;25,0;84214;31,0;421070;38,0;4,47000;4,06000;0;0
